Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category	CMB	Device	Supported Platforms	Proceeds Reason	Preserved Pricing	Client
APPLE	US	20150522	Rubicoin Ltd	Learn: how to invest in stocks	1.2.2	1F	1	0	01/06/2017	01/06/2017	USD	US	USD	997762888	0	 	 	 	 	Finance		iPod touch	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	1	7	0	01/06/2017	01/06/2017	USD	US	USD	973162352	0	 	 	 	 	Finance		iPad	iOS	 	 	 
APPLE	US	20150522	Rubicoin Ltd	Learn: how to invest in stocks	1.2.2	1F	1	0	01/06/2017	01/06/2017	USD	US	USD	997762888	0	 	 	 	 	Finance		Desktop	iOS	 	 	 
APPLE	US	20150522	Rubicoin Ltd	Learn: how to invest in stocks	1.2.2	1F	414	0	01/06/2017	01/06/2017	USD	US	USD	997762888	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	1	181	0	01/06/2017	01/06/2017	USD	US	USD	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	com.rubicoin.invest.premium.monthly	 	Premium_200_30_active	 	IAY	5	4.9	01/06/2017	01/06/2017	USD	US	USD	1147092422	6.99	 	20150303	New	1 Month	Finance		iPhone	iOS	 	 	 
APPLE	US	com.rubicoin.invest.premium.monthly	 	Premium_200_30_active	 	IAY	6	4.9	01/06/2017	01/06/2017	USD	US	USD	1147092422	6.99	 	20150303	Renewal	1 Month	Finance		iPhone	iOS	 	 	 
APPLE	US	com.rubicoin.invest.premium.yearly	 	Premium_600_365_active	 	IAY	1	49	01/06/2017	01/06/2017	USD	US	USD	1147092437	69.99	 	20150303	New	1 Year	Finance		iPhone	iOS	 	 	 
APPLE	US	20150522	Rubicoin Ltd	Learn: how to invest in stocks	1.2.2	1F	5	0	01/06/2017	01/06/2017	INR	IN	INR	997762888	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150522	Rubicoin Ltd	Learn: how to invest in stocks	1.2.2	1F	36	0	01/06/2017	01/06/2017	USD	US	USD	997762888	0	 	 	 	 	Finance		iPad	iOS	 	 	 
APPLE	US	20150522	Rubicoin Ltd	Learn: how to invest in stocks	1.2.2	3F	1	0	01/06/2017	01/06/2017	AUD	AU	AUD	997762888	0	 	 	 	 	Finance		iPad	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	7	1	0	01/06/2017	01/06/2017	NZD	NZ	NZD	973162352	0	 	 	 	 	Finance		iPad	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	7	10	0	01/06/2017	01/06/2017	NZD	NZ	NZD	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.10.3	3	1	0	01/06/2017	01/06/2017	AUD	AU	AUD	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	3	1	0	01/06/2017	01/06/2017	AUD	AU	AUD	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.11.1	3	1	0	01/06/2017	01/06/2017	AUD	AU	AUD	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	7	6	0	01/06/2017	01/06/2017	AUD	AU	AUD	973162352	0	 	 	 	 	Finance		iPad	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.11.1	7	2	0	01/06/2017	01/06/2017	AUD	AU	AUD	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	7	2	0	01/06/2017	01/06/2017	AUD	AU	AUD	973162352	0	 	 	 	 	Finance		Desktop	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	7	47	0	01/06/2017	01/06/2017	AUD	AU	AUD	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150522	Rubicoin Ltd	Learn: how to invest in stocks	1.2.2	3F	1	0	01/06/2017	01/06/2017	AUD	AU	AUD	997762888	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	1	1	0	01/06/2017	01/06/2017	NZD	NZ	NZD	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	1	7	0	01/06/2017	01/06/2017	AUD	AU	AUD	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150522	Rubicoin Ltd	Learn: how to invest in stocks	1.2.2	1F	8	0	01/06/2017	01/06/2017	AUD	AU	AUD	997762888	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150522	Rubicoin Ltd	Learn: how to invest in stocks	1.2.2	1F	1	0	01/06/2017	01/06/2017	NZD	NZ	NZD	997762888	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
